id,sent0,sent1,gold_label
18571,He has a bad memory and never forgets anything,He has a bad memory and often forgets things.
18572,He played a tune on the table.,He played a tune on the piano.
18573,It's high and low.,She's tall and thin.
18574,The ant jumped through the tree,The ant climbed to the tree
18575,He turned on power first and turned on television.,He took the TV first and plugged in the power.
18576,"She often dreams, so her sleep quality is very good.","She often dreams, so her sleep quality is very poor."
18577,"He was sleepy, so he lowered the phone and prepared for bed.","He was sleepy, so he took his cell phone and went back to the net."
18578,He tanned after going to the desert for a few days.,Her skin turned white after going to the desert.
18579,Cleaned the table with sand paper.,Cleaned the table with a rag.
18580,He's 12 and now he's an adult.,AHora's 20 and he's an adult.
18581,"He had spent all his money, so there was still a lot of money in his wallet.","He had spent all his money, so there was no money in his wallet."
18582,"He doesn't like busy places, so he always stays inside.","He doesn't like busy places, so he always goes to the mall."
18583,He applied a bandage to the wound to stop the bleeding.,Applied transparent glue to the wound to stop bleeding
18584,Mom doesn't have a beard.,Mom's got a beard.
18585,My older brother is two years younger than me.,My older brother is two years older than me.
18586,Put the hard glass on the floor.,He smoothly put the glass on the floor.
18587,"He's allergic to peanuts, so he often eats peanuts butter.","He's allergic to peanuts, so he never eats peanuts butter."
18588,"It was too loud out, so he closed the window.","It was too loud out, so he opened the window."
18589,He knocked the paper down and threw it in the dumpster.,He knocked the ruler down and threw him in the dump.
18590,Fishing near the river,Went fishing in the Aquarium
18591,I was chopped by a bee,Le Picó the puppy
18592,It rained last night and the road was dry,It rained last night and the road was wet.
18593,Run in slippers,Run in Tacones tall
18594,"He broke up, so he was very happy.","He broke, so he was very sad."
18595,"He couldn't afford a new car, so he bought a second-hand car.","He couldn't afford a second-hand car, so he bought a new car."
18596,"He ate expired food, so he broke the bone.","He ate expired food, so he had diarrhea."
18597,"It's short, so it's got a couple of reading glasses.","It's short, so he got a couple of short glasses."
18598,"Today is his birthday, so he gave gifts to the others","Today is his birthday, so he got a lot of gifts."
18599,Doctors sometimes get sick.,Doctors never get sick.
18600,I went to the amusement park to restart your car.,I went to the gas station to fill your car.
18601,The doctor told him to eat more sugar when he had Caries.,The doctor told you not to eat too much sugar when I had Caries.
18602,The whole class passed the exam and the teacher is angry.,The whole class passed the exam and the teacher is happy.
18603,"He's good at playing basketball, so he becomes a professional player.","He's good at playing basketball, so he becomes a professional cook."
18604,He picked up a random house.,He picked up a book at random.
18605,He picked up a lot of volleyball on the beach.,He picked up a lot of shells on the beach.
18606,He sang on stage.,Frog sings on stage
18607,Watch TV shows on your iPad,See TV shows on your watch.
18608,"Grandma has no teeth, so she can't eat nuts.","Grandma has no teeth, so she often eats nuts."
18609,It was hot and sweating all over the body.,It was so hot he sweated a ton.
18610,I went to the ladies' room.,I went to the men's room.
18611,He washed his hands with soap.,He washed his hands with coal.
18612,He saw a seagull in the desert.,He saw a seagull on the beach.
18613,Mice chewed through my glass.,Mice chewed through my books
18614,"Her birthday is February 29th, so she has a birthday every year.","Her birthday is February 29th, so she can't celebrate it every year."
18615,The light was red and stopped.,"The light was green, so it stopped."
18616,He took a pen out of his school bag.,He took a whale out of his school bag.
18617,"The sun was too bright, so he put on his sunglasses.","The sun was too bright, so he took off the sunglasses."
18618,He opened the door with the car key.,He opened the gate with the port key.
18619,He smelled grilled fish in the hospital hall.,He smelled disinfectant in the hospital hall.
18620,He planted the tree in the middle of the road.,He planted the tree next to the road.
18621,"He has a bad appetite, so he can't eat.","He had a bad appetite, so he ate a lot."
18622,He sat on the couch watching TV.,He sat on the cactus and saw the TV.
18623,I went to the railway station in Avion.,I went to the airport to take an airplane.
18624,Dad used to hit grass on the highway.,Dad used to shoot grass in the grass.
18625,They went camping in the kindergarten.,They went camping on the top of the mountain.
18626,"The box was too heavy, so it took him to move it.","The box was too heavy, so it felt easy to move."
18627,Dad shaves himself with a knife.,Dad shaved himself with papers.
18628,Modesty makes one advance,Modesty makes a man fall back
18629,Breakfast in the morning.,He had dinner in the morning.
18630,He saw Mickey Mouse at Disney Park.,He saw a lot of mouths in Disney Park.
18631,"He doesn't like fruit, but he likes apples.","He doesn't like fruit, but he likes bread."
18632,The song was so beautiful that she heard it many times.,"The song was terrible, so he listened to it many times."
18633,"It was very efficient, so he finished the Tarea before time.","It took a lot of time, so he finished the Tarea before time."
18634,Transport facilities belong to public property,Transport facilities belong to private property
18635,History learning can help us understand what will happen in the future.,Learning history can help us understand what happened before.
18636,Flammable articles and explosives admitted to the high-speed railway,No flammable and explosive goods in the high-speed railway
18637,All dogs in public places must be released,All dogs in public places must be rooted
18638,Scholarships are a disgrace to students.,The scholarship is an honor for students.
18639,Dictionaries can explain some laws of nature.,The dictionary can explain the meaning of a word.
18640,Different people have different occupations.,Different people have the same occupation.
18641,Taking notes in class is a bad habit.,Taking notes in class is a good habit.
18642,It's not important to the city.,The Alcantarillado is very important for cities.
